,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(HC_conf_high),2.2331980706580015,0.10481237214943033,2.023853324821444,2.164480573740202,2.2349073591835626,2.3033634612134293,2.4369230921481417,0.0012331201506163953
a(HC_conf_low),2.32889960758505,0.10385781320659931,2.127557122991194,2.2581238940166664,2.328321481632584,2.3981412158835154,2.532832043602655,0.0012849455791388749
a(SSD_conf_high),2.483564752014764,0.1088585937492649,2.268453974896188,2.4099682004651797,2.4840883371490263,2.5574827167938103,2.6939958650119937,0.0014122060919878614
a(SSD_conf_low),2.6136241228163315,0.11148024440626499,2.396578143417914,2.538575633293553,2.6142791422977267,2.6898488127754145,2.8333081974257657,0.0012207061782509303
a_std,0.4771445139936487,0.042595971442799786,0.40281913521199164,0.4476003650636522,0.4738780139898915,0.5036373837290196,0.5705051351027053,0.000531253695256677
a_subj(HC_conf_high).1,1.6002246952183732,0.0631945522533917,1.4790143306999393,1.5564290387187907,1.5989961264188415,1.64217542206663,1.729284675973603,0.0007461454131548137
a_subj(HC_conf_high).2,2.604891086068852,0.11353948720239818,2.3927675312579177,2.528243657079388,2.599296093685192,2.6793984850331434,2.8334247369031997,0.0016844840444396852
a_subj(HC_conf_high).4,2.1941205195801627,0.08980492423590648,2.022138879065168,2.1322593474890947,2.1929096082189146,2.253698078629807,2.3757066769256054,0.0013256593132565493
a_subj(HC_conf_high).8,1.8957380596542066,0.0750160580368582,1.7522864020963644,1.8439730860717436,1.893294683335299,1.9453103138187118,2.045624182251684,0.0011626703468579614
a_subj(HC_conf_high).9,2.9620622918019497,0.1180688442010386,2.739042901374694,2.8803221504552816,2.960303775105226,3.0404364172854215,3.204005867998271,0.0016564864368647867
a_subj(HC_conf_high).12,2.5887931034591176,0.09973492882893631,2.4017610068659745,2.5186570110895516,2.587755168191681,2.6569495849546185,2.785282210097634,0.0012412060958647713
a_subj(HC_conf_high).16,1.9268826316236929,0.08145183534298826,1.7700286784304096,1.871652192715126,1.924797193084947,1.9818094259870116,2.089182323760914,0.0013046043672350202
a_subj(HC_conf_high).18,1.897407676102317,0.07375456540617356,1.7580599120743807,1.8462792398089911,1.8957368317590721,1.9463074695867268,2.047042549559895,0.0012916672103344944
a_subj(HC_conf_high).19,2.692212510014721,0.10983525582930853,2.4828280403940286,2.617357278426437,2.6890330083036074,2.763466843279092,2.917023847439122,0.0015282274662155612
a_subj(HC_conf_high).23,1.8411346310084717,0.06839470723995433,1.7118508751126986,1.7946114587993556,1.8390879376639186,1.8862521556770335,1.9800166173725142,0.0008373740048820478
a_subj(HC_conf_high).25,1.7980929724571193,0.09144137566085878,1.6214207865827504,1.7352320990075791,1.7979153434798278,1.8586362115453454,1.9768959896726042,0.0016714448386164898
a_subj(HC_conf_high).26,2.3571704752011855,0.09830293473324365,2.1755752747494235,2.2892188248445144,2.3544831335797856,2.420677981012063,2.558385269028821,0.0014715685934381414
a_subj(HC_conf_high).29,2.354158748260161,0.08672408229298391,2.1915784788283172,2.294056777273133,2.352221957030812,2.4128157180476997,2.530634853450895,0.0012304366261349335
a_subj(HC_conf_high).30,1.7162264925598376,0.06863779475833119,1.5872223033254103,1.669978349702852,1.7142846828579361,1.760961666417925,1.856570301436606,0.000998866746896382
a_subj(HC_conf_high).31,2.7378661194911924,0.10331108895762334,2.544389778125584,2.666910073539004,2.734325561875159,2.805445365263237,2.9506243242385186,0.0014140846419354203
a_subj(HC_conf_high).32,2.57625788958432,0.10256836742113365,2.3760815817748338,2.505029672751421,2.573969129423776,2.645261352558699,2.78048095453188,0.0015149236846827437
a_subj(HC_conf_high).35,2.229778653007448,0.08557003880136849,2.0690374671319622,2.171644082137189,2.2276149749310084,2.284885275671267,2.4060113638361935,0.0013226517667950318
a_subj(HC_conf_high).36,2.73912576592609,0.10623721112977792,2.5418980562213536,2.6665256411808795,2.7366609852832138,2.8102223238145405,2.9556493013296343,0.001482712624647971
a_subj(HC_conf_high).37,2.065340615883028,0.08663063818419599,1.9007254137130523,2.006015622524825,2.064142976756267,2.123559314422198,2.2391362581298857,0.0013529710272307343
a_subj(HC_conf_high).38,1.7554268188449262,0.07432215172605346,1.61751604594965,1.704588163527785,1.7531361701021866,1.8034816701631986,1.906818044954356,0.0011695764291660556
a_subj(HC_conf_low).1,1.5147863932395433,0.06358534546974196,1.3969022465774135,1.470831863195798,1.5127543884745176,1.5556825475290812,1.64305722925099,0.0009184415223706208
a_subj(HC_conf_low).2,2.469443201698231,0.11010311870666387,2.2692915398880347,2.3946582919036428,2.4619563000760625,2.5368927608044176,2.708989231474511,0.002339092873783121
a_subj(HC_conf_low).4,2.209873053402714,0.08803720450751244,2.041615852938134,2.149528208604111,2.2095869415514264,2.2690479673945196,2.3837314334793973,0.0015102776565120747
a_subj(HC_conf_low).5,2.6914973985710793,0.07580933575951364,2.5492346318788757,2.639321609375042,2.689745398228154,2.740806744262277,2.8461957582561115,0.0012007845813517598
a_subj(HC_conf_low).8,2.2391509515203634,0.07748856710785926,2.094671487672899,2.1845572838851988,2.2377372988802278,2.2909610534742093,2.3944983803141078,0.0009560113728465955
a_subj(HC_conf_low).9,3.4878837230564232,0.12853787996241448,3.247064053985108,3.400375981984695,3.48568576655603,3.5723664082150623,3.750079768805261,0.0017946279080702187
a_subj(HC_conf_low).12,2.491192443229909,0.09660868202126252,2.314461144866673,2.4243518584790356,2.488089132547031,2.5540614230780454,2.6874044538103883,0.0013029230824330921
a_subj(HC_conf_low).16,1.9440260757887469,0.07862383573284273,1.7949369378287081,1.8900750002339004,1.9418688008495684,1.9966571818537802,2.1042992745571456,0.0011632799262894236
