,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,group,rt,response,prev_conf,accuracy,group_prev_conf,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(HC_conf_high),a,True,False,False,a(HC_conf_high),"('HC_conf_high',)",['group_prev_conf'],False,,,,,,,,HC_conf_high,2.228609022843793,0.10602599379399023,2.0224218791938076,2.1552841464324732,2.2298755905284153,2.3016868133558392,2.4297412595988668,0.0012393162990000023
a(HC_conf_low),a,True,False,False,a(HC_conf_low),"('HC_conf_low',)",['group_prev_conf'],False,,,,,,,,HC_conf_low,2.33264438411744,0.10308724665382352,2.1302022118410315,2.2644583900798203,2.333364433946413,2.4025213949527395,2.533757192531291,0.0013250553475922999
a(SSD_conf_high),a,True,False,False,a(SSD_conf_high),"('SSD_conf_high',)",['group_prev_conf'],False,,,,,,,,SSD_conf_high,2.4844409885060097,0.10890478227966266,2.272034434407878,2.410931645913655,2.483763410002559,2.5577652517409883,2.6965317582372528,0.0012986044124161714
a(SSD_conf_low),a,True,False,False,a(SSD_conf_low),"('SSD_conf_low',)",['group_prev_conf'],False,,,,,,,,SSD_conf_low,2.623554157583567,0.11057815358777177,2.4033626945442768,2.551009363745552,2.6231409953498206,2.6983898912165234,2.8383245048302586,0.0011670425363203853
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,,,,0.47726419341880505,0.04230581179348369,0.4032701176881583,0.44707519799264606,0.4746762579673263,0.5036147032828776,0.5681435174135664,0.0005695169117313234
a_rate(HC_conf_high),a_rate,False,False,False,a_rate(HC_conf_high),"('HC_conf_high',)",['group_prev_conf'],True,,,,,,,,HC_conf_high,,,,,,,,
a_rate(HC_conf_low),a_rate,False,False,False,a_rate(HC_conf_low),"('HC_conf_low',)",['group_prev_conf'],True,,,,,,,,HC_conf_low,,,,,,,,
a_rate(SSD_conf_high),a_rate,False,False,False,a_rate(SSD_conf_high),"('SSD_conf_high',)",['group_prev_conf'],True,,,,,,,,SSD_conf_high,,,,,,,,
a_rate(SSD_conf_low),a_rate,False,False,False,a_rate(SSD_conf_low),"('SSD_conf_low',)",['group_prev_conf'],True,,,,,,,,SSD_conf_low,,,,,,,,
a_shape(HC_conf_high),a_shape,False,False,False,a_shape(HC_conf_high),"('HC_conf_high',)",['group_prev_conf'],True,,,,,,,,HC_conf_high,,,,,,,,
a_shape(HC_conf_low),a_shape,False,False,False,a_shape(HC_conf_low),"('HC_conf_low',)",['group_prev_conf'],True,,,,,,,,HC_conf_low,,,,,,,,
a_shape(SSD_conf_high),a_shape,False,False,False,a_shape(SSD_conf_high),"('SSD_conf_high',)",['group_prev_conf'],True,,,,,,,,SSD_conf_high,,,,,,,,
a_shape(SSD_conf_low),a_shape,False,False,False,a_shape(SSD_conf_low),"('SSD_conf_low',)",['group_prev_conf'],True,,,,,,,,SSD_conf_low,,,,,,,,
a_subj(HC_conf_high).1,a_subj,True,False,True,a_subj(HC_conf_high).1,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,1,,,,,,,HC_conf_high,1.5944093963226815,0.0643851704933366,1.4722126196332448,1.5496416134267506,1.5935853798095778,1.6364053308587998,1.725052129024476,0.0008045267476394493
a_subj(HC_conf_high).2,a_subj,True,False,True,a_subj(HC_conf_high).2,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,2,,,,,,,HC_conf_high,2.597282721320096,0.10994780895619387,2.3836316640023636,2.5236727478718723,2.596371771180543,2.667742994545327,2.8186010875336964,0.00169250326933167
a_subj(HC_conf_high).4,a_subj,True,False,True,a_subj(HC_conf_high).4,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,4,,,,,,,HC_conf_high,2.1782611585914076,0.09071129294273511,2.009071819285266,2.1162131625612535,2.1749001368689194,2.237925309301369,2.366402885439382,0.0014167053032137825
a_subj(HC_conf_high).8,a_subj,True,False,True,a_subj(HC_conf_high).8,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,8,,,,,,,HC_conf_high,1.8931062582004197,0.07345942219034692,1.7526477307650765,1.843527870175176,1.8908784150213314,1.9422052580009082,2.039279686358031,0.001157141042731437
a_subj(HC_conf_high).9,a_subj,True,False,True,a_subj(HC_conf_high).9,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,9,,,,,,,HC_conf_high,2.968560001810291,0.11769581767992056,2.7486901114880853,2.888509849365858,2.9649900865602326,3.0458160937022027,3.204208642526148,0.0015404448279074854
a_subj(HC_conf_high).12,a_subj,True,False,True,a_subj(HC_conf_high).12,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,12,,,,,,,HC_conf_high,2.591213552995243,0.10194550756280109,2.399623231170063,2.521832566335042,2.5901521213774426,2.6570808150273937,2.799701844072209,0.001384235087010761
a_subj(HC_conf_high).16,a_subj,True,False,True,a_subj(HC_conf_high).16,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,16,,,,,,,HC_conf_high,1.927377662064565,0.08104236623167611,1.7741413576789204,1.871273383673069,1.9258798423192927,1.981183650762804,2.0924765730216155,0.0011831551884469208
a_subj(HC_conf_high).18,a_subj,True,False,True,a_subj(HC_conf_high).18,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,18,,,,,,,HC_conf_high,1.8960265389489472,0.07481425049628702,1.7551036497900336,1.844995148295804,1.89405876384272,1.9449660110696656,2.0482311573289094,0.00130100312110483
a_subj(HC_conf_high).19,a_subj,True,False,True,a_subj(HC_conf_high).19,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,19,,,,,,,HC_conf_high,2.6833693216549808,0.111946253224748,2.4736246201359364,2.6058488312107584,2.681822752276554,2.7573428483756515,2.909589917341396,0.001585133306520684
a_subj(HC_conf_high).23,a_subj,True,False,True,a_subj(HC_conf_high).23,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,23,,,,,,,HC_conf_high,1.8433267413890988,0.06955974958065247,1.7123642258018221,1.795691958362383,1.8410031522241979,1.888752587724309,1.9862301789667263,0.0008093051228740636
a_subj(HC_conf_high).25,a_subj,True,False,True,a_subj(HC_conf_high).25,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,25,,,,,,,HC_conf_high,1.7975869213259608,0.09547022481030368,1.6121022480133433,1.7326215692639046,1.7962948302396375,1.861188495353305,1.9864549806844742,0.0019723547152314335
a_subj(HC_conf_high).26,a_subj,True,False,True,a_subj(HC_conf_high).26,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,26,,,,,,,HC_conf_high,2.355732653879579,0.096035122866752,2.176233337526555,2.2897236427899235,2.354351517545953,2.4179493484986034,2.5536989669922785,0.0011542354156606044
a_subj(HC_conf_high).29,a_subj,True,False,True,a_subj(HC_conf_high).29,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,29,,,,,,,HC_conf_high,2.3569106398365194,0.08831548351962192,2.1942344742118074,2.2967825853535495,2.3546601498544386,2.4143835653092385,2.5420548072860076,0.001281068616753601
a_subj(HC_conf_high).30,a_subj,True,False,True,a_subj(HC_conf_high).30,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,30,,,,,,,HC_conf_high,1.7164472401281827,0.06789395148522932,1.586916488567981,1.6698498314774395,1.7156287893061761,1.7615321180617716,1.8540765049877599,0.0010881574281388425
a_subj(HC_conf_high).31,a_subj,True,False,True,a_subj(HC_conf_high).31,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,31,,,,,,,HC_conf_high,2.7392441253282502,0.10045560038375427,2.5470922877256013,2.6694344605205615,2.74094417316686,2.8048348719482292,2.940409727452425,0.0012977878048605136
a_subj(HC_conf_high).32,a_subj,True,False,True,a_subj(HC_conf_high).32,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,32,,,,,,,HC_conf_high,2.5727073049180698,0.10179412508760614,2.3730168509471286,2.502895620759291,2.5699239814381154,2.6427337411922114,2.7728084037785363,0.0015490783030109015
a_subj(HC_conf_high).35,a_subj,True,False,True,a_subj(HC_conf_high).35,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,35,,,,,,,HC_conf_high,2.240541878641533,0.08669269365039664,2.0752583645112503,2.1808845661291985,2.2380698456841173,2.297372845481899,2.4156837938922475,0.0012321871544182488
a_subj(HC_conf_high).36,a_subj,True,False,True,a_subj(HC_conf_high).36,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,36,,,,,,,HC_conf_high,2.752871137572633,0.10942486109940865,2.546113405421133,2.6784344079785876,2.74845788590891,2.8259741630477664,2.9762509815659115,0.0014787242384587391
a_subj(HC_conf_high).37,a_subj,True,False,True,a_subj(HC_conf_high).37,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,37,,,,,,,HC_conf_high,2.062921831602868,0.08708285035335236,1.8973529932691218,2.002564976019235,2.0619267002624304,2.1199743414580263,2.235485439153508,0.001570545331670536
a_subj(HC_conf_high).38,a_subj,True,False,True,a_subj(HC_conf_high).38,"('HC_conf_high',)","['group_prev_conf', 'subj_idx']",False,38,,,,,,,HC_conf_high,1.7550823953427634,0.07269442515864309,1.622787741648481,1.7041204020552945,1.752249999718472,1.8022429545639456,1.9040309840648955,0.001208862908301952
a_subj(HC_conf_low).1,a_subj,True,False,True,a_subj(HC_conf_low).1,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,1,,,,,,,HC_conf_low,1.521718474497441,0.0640089034936826,1.4027007938869225,1.4771737989973546,1.519666230957252,1.5633592995018464,1.6507753916532573,0.0009240212968881506
a_subj(HC_conf_low).2,a_subj,True,False,True,a_subj(HC_conf_low).2,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,2,,,,,,,HC_conf_low,2.4862848576237835,0.10917388243114633,2.2901265283276517,2.4119651381785845,2.479351822855653,2.5517040911086712,2.728269659826498,0.002201632390623656
a_subj(HC_conf_low).4,a_subj,True,False,True,a_subj(HC_conf_low).4,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,4,,,,,,,HC_conf_low,2.220578510888853,0.09003037089181697,2.049680645886297,2.157601919122351,2.2174880336677414,2.2796186045090328,2.4016305024696534,0.0013617274805968736
a_subj(HC_conf_low).5,a_subj,True,False,True,a_subj(HC_conf_low).5,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,5,,,,,,,HC_conf_low,2.6925475718827454,0.07790321229166709,2.545271366954984,2.6399932606414467,2.6901481703756756,2.7448113752661603,2.8485357010585832,0.0010566214882288777
a_subj(HC_conf_low).8,a_subj,True,False,True,a_subj(HC_conf_low).8,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,8,,,,,,,HC_conf_low,2.243328804864055,0.07767455057655664,2.0973956430480234,2.1899707782081124,2.24049323779772,2.2946490317838735,2.401402939934875,0.0011256304003431806
a_subj(HC_conf_low).9,a_subj,True,False,True,a_subj(HC_conf_low).9,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,9,,,,,,,HC_conf_low,3.4817655063682706,0.1301169373040303,3.23299439122086,3.3932574111268425,3.479104205979663,3.5701845847531892,3.7404651526814368,0.001609596236835659
a_subj(HC_conf_low).12,a_subj,True,False,True,a_subj(HC_conf_low).12,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,12,,,,,,,HC_conf_low,2.4947400734321463,0.09836955885828068,2.3129049936981714,2.4262314922703063,2.4911349216944494,2.5587302326428647,2.6959182301151543,0.0015235844451575529
a_subj(HC_conf_low).16,a_subj,True,False,True,a_subj(HC_conf_low).16,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,16,,,,,,,HC_conf_low,1.941629643493939,0.07750036901150767,1.792035538625667,1.8890204827690913,1.9410490107180798,1.994238619829038,2.0949039200744966,0.0011499156767489681
a_subj(HC_conf_low).18,a_subj,True,False,True,a_subj(HC_conf_low).18,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,18,,,,,,,HC_conf_low,2.0154426688005715,0.07374110339733866,1.8766268949397191,1.9645124188915988,2.013096528381088,2.065191569193281,2.160622784587641,0.0010818488899207153
a_subj(HC_conf_low).19,a_subj,True,False,True,a_subj(HC_conf_low).19,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,19,,,,,,,HC_conf_low,2.693336824706163,0.10521744088004206,2.4958451020365957,2.6209647874684805,2.6902138913527387,2.762691842775591,2.9067865845686787,0.001525330646670054
a_subj(HC_conf_low).23,a_subj,True,False,True,a_subj(HC_conf_low).23,"('HC_conf_low',)","['group_prev_conf', 'subj_idx']",False,23,,,,,,,HC_conf_low,1.512120978552734,0.057617661155224355,1.4062280135217295,1.4713975868257887,1.5109312542100803,1.5491319089932811,1.6325867742534799,0.0009378321829295148
