,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(a_high.HC),1.9899587180566274,0.10695114434618658,1.7790780343802535,1.9178182174074265,1.9902330037015452,2.0620920528774724,2.2008130360812936,0.0013460429026175503
a(a_high.SSD),2.2988283611899663,0.1124238984435187,2.081601996416206,2.222732065463296,2.2979303590801465,2.3738797043417987,2.520109522914762,0.0013331197878739824
a(a_low.HC),2.515023406387471,0.10776669489279508,2.298747076806724,2.443418299918557,2.5149442684978496,2.5870362454225653,2.7239855194843248,0.00150314152793946
a(a_low.SSD),2.787544929210659,0.11378532993617425,2.5652381385873877,2.7101887717382938,2.7878820954569954,2.8644249121325633,3.0076455724761963,0.0012355240730864405
a_std,0.48860901088501757,0.04386048168826677,0.4126182070548928,0.45745860628752605,0.48538443022618416,0.515703995688993,0.5854231969038702,0.0006899941477102954
a_subj(a_high.HC).1,1.5197443879764532,0.07238907213200518,1.3814140857865236,1.4701893069848364,1.5171929905261692,1.5683653973171117,1.6671417256121837,0.001117418614437537
a_subj(a_high.HC).2,2.168270419565158,0.10710488624497637,1.968828200308567,2.0951037240509853,2.1647270934708236,2.2387194474472905,2.38468631784029,0.002498946435887413
a_subj(a_high.HC).4,1.5940570192835612,0.07844980049550782,1.448722122336473,1.5393870441600166,1.5916204706873083,1.647219788591339,1.7534238875324457,0.0015055519074426056
a_subj(a_high.HC).8,1.4829418384497657,0.06581506828678026,1.3548230139916495,1.4387664167599001,1.4825988059005335,1.527617565199391,1.6107996042869075,0.0011637329326030408
a_subj(a_high.HC).9,2.529752826966182,0.14697652772405598,2.2646304426584534,2.421039229956449,2.5265138370628875,2.633872404672874,2.820998166165499,0.0042661825734257326
a_subj(a_high.HC).12,2.31306918645881,0.09679259217747094,2.126598921728376,2.248478712678918,2.312190994736844,2.3771710691540173,2.507878548753456,0.0017172621280578907
a_subj(a_high.HC).16,1.7518068096913384,0.07211498335778584,1.6115463665879592,1.7032879288801712,1.7502210576146155,1.7999395829633216,1.895454036832667,0.0008880320512159002
a_subj(a_high.HC).18,1.6132025875554215,0.07113993905568615,1.478465820834154,1.563635200122926,1.6121712974781972,1.6604266635216345,1.7559385746892433,0.0012372778079545238
a_subj(a_high.HC).19,2.5077944990817236,0.10919305188437717,2.3021737541475957,2.434342261478763,2.5043826030375222,2.578471365731816,2.7304392816476106,0.0014540684967875974
